Hostname;IPAddress
de-sw-stutt-bb-01;10.219.0.65
de-sw-stutt-as-11.wid1;10.219.0.81
de-sw-stutt-as-10.wid1;10.219.0.80
de-sw-stutt-as-01.wid1;10.219.0.71
de-sw-stutt-as-02.wid1;10.219.0.72
de-sw-stutt-as-13.wid1;10.219.0.83
de-sw-stutt-as-12.wid1;10.219.0.82
de-sw-stutt-as-03.wid1;10.219.0.73
de-sw-stutt-as-04.wid1;10.219.0.74
de-sw-stutt-as-05.wid1;10.219.0.75
de-sw-stutt-as-06.wid1;10.219.0.76
de-sw-stutt-as-07.wid1;10.219.0.77
de-sw-stutt-as-08.wid1;10.219.0.78
de-sw-stutt-as-09.wid1;10.219.0.79
WID01-WLC02;10.219.2.6
WID01-WLC01;10.219.2.7
de-sw-stutt-as-01-HPC.wid1;10.219.0.101
AP4001.7AB1.BB40;10.219.2.28
de-ap-wid1-007;10.219.2.51
de-ap-wid1-013;10.219.2.43
de-ap-wid1-020;10.219.2.52
de-ap-wid1-023;10.219.2.37
de-ap-wid1-003;10.219.2.23
de-ap-wid1-011;10.219.2.40
AP4001.7AB1.BB30;10.219.2.49
AP002C.C88B.64C8;10.219.2.39
de-sw-wid2-as-01.wid2;10.219.88.71
AP1880.90CD.BBA0;10.219.2.66
WID1AP002C.C88B.65E8;10.219.2.59
AP500F.806E.7430;10.219.2.36
AP4001.7AB1.BB78;10.219.2.62
de-ap-wid1-024;10.219.2.31
de-ap-wid1-015;10.219.2.26
de-ap-wid1-012;10.219.2.34
de-ap-wid1-008;10.219.2.35
 AP4001.7AB1.6520; 10.219.2.24
AP1880.9025.92A0 ;10.219.2.63
de-ap-wid1-025;10.219.2.54
AP500F.806E.7838;10.219.2.58
AP4001.7AB1.BA48; 10.219.2.61
AP4001.7AB1.B908; 10.219.2.60
AP1880.90CD.CEC0;10.219.2.69
AP500F.806E.7588; 10.219.2.25
de-ap-wid1-019  ; 10.219.2.44
AP500F.806E.79E8 ; 10.219.2.27
de-ap-wid1-006   ;10.219.2.56
de-ap-wid1-016   ;10.219.2.21
de-ap-wid1-005 ;10.219.2.48
AP4001.7AB1.BBE0 ; 10.219.2.68
AP4001.7AB1.BBD0;10.219.2.22
de-ap-wid1-017;10.219.2.42
de-ap-wid1-004   ; 10.219.2.50
de-ap-wid1-014   ;10.219.2.30
SEP64167f1e2ad5 ; 10.219.24.3
de-ap-wid1-001 ;10.219.2.55
de-ap-wid1-018   ; 10.219.2.33
AP4001.7AB1.BBA8 ; 10.219.2.46
AP4001.7AB1.B998 ;10.219.2.70
AP4001.7AB1.BBE8 ; 10.219.2.45
AP4001.7AB1.BBD8 ;10.219.2.47
